Nanoparticle_Type,Base_Fluid,Volume_Fraction (%),Temperature (°C),Flow_Velocity (m/s),Thermal_Conductivity (W/mK),Specific_Heat_Capacity (J/kgK),Density (kg/m³),Viscosity (Pa·s),Heat_Transfer_Coefficient (W/m²K)
TiO2,Ethylene Glycol,4.92,58.1,2.211,1.517,1218,943,0.0029,1531.118959
SiO2,Ethylene Glycol,0.76,71.2,2.807,0.741,1415,1051,0.00687,3144.059542
SiO2,Water,3.83,51.4,1.981,0.771,2219,958,0.00464,1576.564278
CuO,Water,3.63,30.7,1.532,1.674,1889,1320,0.00276,3062.710234
Al2O3,Propylene Glycol,3.78,68.6,0.795,0.69,2187,1462,0.00344,1139.651221
ZnO,Oil,1.29,87.9,1.448,1.245,1504,1351,0.00097,6688.2388
Al2O3,Oil,0.14,80.2,2.264,0.682,4356,1009,0.00939,3896.372572
SiO2,Propylene Glycol,3.51,28.7,0.453,1.742,2233,2002,0.00052,3911.430937
ZnO,Oil,3.32,82.4,1.342,1.832,4266,907,0.00739,2430.701401
SiO2,Propylene Glycol,1.04,88.8,0.83,1.633,1888,1954,0.00969,3093.80543
Al2O3,Water,0.66,61.8,2.235,1.741,1497,1126,0.00445,6116.404105
ZnO,Oil,4.61,37.2,0.201,0.955,3643,1870,0.0076,351.326222
SiO2,Oil,4.61,65,2.82,1.371,974,1481,0.00708,1794.06177
SiO2,Oil,0.96,33.2,0.389,0.993,1514,1871,0.00062,3323.417917
ZnO,Water,3.85,47.5,2.569,1.656,1913,1656,0.00623,3931.768061
Al2O3,Oil,2.81,52.4,0.298,1.28,3118,1992,0.00384,1368.655707
TiO2,Water,0.21,87.7,2.892,1.707,3881,1288,0.00068,26451.00482
Al2O3,Oil,0.25,50.4,2.528,1.45,1285,938,0.00232,6632.159224
SiO2,Oil,4.1,73.2,1.802,0.888,2051,1768,0.0096,1689.23449
ZnO,Oil,3.62,63.6,2.196,0.932,3436,1660,0.0081,3086.973119
TiO2,Oil,4.03,20,1.137,1.089,2852,1760,0.00717,1749.636993
Al2O3,Ethylene Glycol,4.11,77.8,2.786,1.242,4315,1007,0.00325,3936.250639
SiO2,Ethylene Glycol,1.65,30.6,1.408,1.665,3584,1488,0.00149,9212.954487
Al2O3,Propylene Glycol,4.56,60,0.492,1.416,2399,1951,0.00344,1160.826907
Al2O3,Propylene Glycol,0.51,87.7,1.155,0.913,1163,1570,0.00356,3066.81788
TiO2,Water,3.75,49.1,2.508,1.816,2114,1693,0.00836,3842.173638
CuO,Oil,1.7,83.6,0.289,1.261,4341,1656,0.00261,1954.234129
TiO2,Propylene Glycol,4.6,76.8,1.856,1.628,3819,1684,0.00195,4760.057424
TiO2,Water,2.84,60.9,0.564,0.822,895,1662,0.00326,994.6502385
CuO,Propylene Glycol,3.11,86.3,2.868,1.807,2453,1792,0.00225,10128.78559
SiO2,Water,4.86,77,2.341,1.671,2108,1373,0.00131,4060.002176
Al2O3,Ethylene Glycol,0.63,36.7,1.953,1.31,827,1766,0.00217,6990.443749
CuO,Oil,1.59,31,0.208,0.816,2628,1366,0.0043,712.2232254
CuO,Water,2.07,36.2,1.268,1.376,3511,1833,0.00334,5982.553676
CuO,Oil,4.26,86.2,2.096,1.774,827,1762,0.00846,1950.959901
TiO2,Propylene Glycol,2.76,21.5,0.32,0.772,3493,1802,0.00465,966.1812824
SiO2,Water,3.44,62.5,1.561,1.566,3441,1367,0.00192,5159.73339
SiO2,Oil,0.7,84.2,0.414,1.165,1750,1655,0.00702,1386.321417
ZnO,Propylene Glycol,0.85,33.1,1.222,1.021,2738,1473,0.00987,2824.921636
CuO,Oil,3.02,57.9,1.223,1.553,1744,1538,0.00983,2095.669302
TiO2,Propylene Glycol,4.47,46.7,1.15,0.687,1766,1140,0.00306,906.8060313
TiO2,Propylene Glycol,3.98,37,1.169,0.826,1280,1391,0.00125,1929.718017
CuO,Oil,1.59,30.6,2.394,1.693,932,1277,0.00815,3780.522889
SiO2,Oil,4.09,45.9,2.114,0.65,1505,1292,0.00662,1304.980498
CuO,Water,1.72,32,0.296,1.251,4213,1763,0.00951,1306.123266
CuO,Water,1.26,78.2,1.696,0.885,3532,1470,0.00702,4154.993733
SiO2,Water,3.53,49.5,2.745,1.801,2582,1311,0.00156,7845.207935
ZnO,Oil,0.93,74.8,0.851,0.618,1232,1533,0.00235,2148.355265
ZnO,Oil,0.47,37.6,2.674,1.182,4156,912,0.00594,6447.854742
CuO,Propylene Glycol,4.14,45.4,0.672,1.637,1561,1404,0.00179,1625.400906
Al2O3,Water,0.57,43.1,0.455,1.13,1617,1801,0.00938,1448.134459
ZnO,Water,2.92,66.2,0.607,1.196,3704,1586,0.00564,1773.646094
Al2O3,Propylene Glycol,4.04,24.7,1.872,0.676,3007,1799,0.00159,3704.603979
Al2O3,Propylene Glycol,0.29,51.8,0.455,0.749,3903,1924,0.00345,2710.425241
ZnO,Water,1.91,72.9,1.846,0.693,2224,1544,0.00306,3879.406025
Al2O3,Oil,0.73,43.3,0.393,0.644,1730,1659,0.00656,1003.037068
TiO2,Oil,3.55,54.3,0.295,0.655,1621,1871,0.00563,474.5408711
TiO2,Ethylene Glycol,0.38,66.8,2.452,0.695,4225,1195,0.00111,10316.77717
CuO,Ethylene Glycol,3.06,88.5,2.946,0.916,1916,1889,0.0006,11452.28597
TiO2,Water,2.3,70.4,2.552,0.98,4420,1449,0.00086,12205.93241
CuO,Ethylene Glycol,0.41,39.4,1.762,0.851,2288,1803,0.0036,6304.101859
Al2O3,Ethylene Glycol,1.71,20.2,1.27,1.409,2070,1505,0.00949,2947.209441
CuO,Ethylene Glycol,3.49,88.3,1.932,1.357,3511,1782,0.00864,3822.102545
CuO,Oil,0.36,46.4,0.595,0.827,3713,1739,0.00773,2264.668212
SiO2,Propylene Glycol,1.08,63.1,2.852,1.535,3433,1585,0.00166,16698.41005
SiO2,Oil,4.58,30.7,0.191,1.676,2575,909,0.00659,260.0029194
CuO,Propylene Glycol,1.2,88.4,0.837,1.473,1000,1457,0.00213,3108.872703
CuO,Oil,2.96,44.8,1.086,1.901,974,985,0.00922,1254.172206
CuO,Propylene Glycol,0.74,34.4,2.73,0.681,3375,1131,0.00206,7438.446366
CuO,Oil,4.83,33.8,2.067,0.727,3029,1598,0.00971,1303.22997
CuO,Water,1.66,54.5,0.305,0.924,3830,1726,0.00483,1354.635987
Al2O3,Ethylene Glycol,1.41,26.4,1.328,1.802,2459,1882,0.00983,4674.687579
CuO,Ethylene Glycol,2.09,41.6,0.287,0.882,2321,1382,0.00181,1189.922583
ZnO,Ethylene Glycol,1.92,87.8,1.37,1.216,1041,1038,0.00244,2637.677032
Al2O3,Ethylene Glycol,2.11,46.8,1.832,1.51,3159,1634,0.005,6132.557617
TiO2,Propylene Glycol,0.76,23.4,2.116,0.817,2216,1880,0.00227,8264.126134
Al2O3,Propylene Glycol,4,58,1.253,1.695,2637,1030,0.0012,3284.864987
CuO,Water,3.49,52,2.169,1.457,3584,1567,0.00517,4772.125008
CuO,Propylene Glycol,4.73,34.6,1.926,0.886,2034,1486,0.00568,1450.206043
Al2O3,Oil,3.63,60.1,2.793,1.415,2708,1491,0.00769,3880.877082
SiO2,Water,0.98,45.9,2.268,1.853,1389,1597,0.00425,7825.075437
Al2O3,Ethylene Glycol,3,72.1,1.92,1.456,2965,1224,0.00837,3143.46381
ZnO,Ethylene Glycol,0.56,53.7,1.598,1.77,1457,1747,0.009,4972.143361
CuO,Ethylene Glycol,3.95,52.5,2.626,1.291,2510,1876,0.00907,3563.791438
TiO2,Oil,0.52,26.8,1.47,1.407,2190,1588,0.00876,4541.611746
SiO2,Propylene Glycol,1.38,52.1,2.318,1.39,2563,1662,0.00316,9214.351624
Al2O3,Oil,3.57,25.5,2.529,0.971,3607,972,0.00616,2677.936432
SiO2,Propylene Glycol,4.99,59.9,2.986,1.713,4434,1567,0.00597,3836.369289
TiO2,Water,4.62,72.8,0.764,0.697,4393,1920,0.00431,1165.789564
TiO2,Oil,3.55,31,2.864,1.918,3136,982,0.00762,3833.762841
CuO,Ethylene Glycol,2.49,24,0.932,0.748,1069,1770,0.00732,1290.150775
CuO,Ethylene Glycol,3.24,33.7,1.256,0.852,2222,971,0.00993,1047.301635
TiO2,Propylene Glycol,3.29,23.2,1.605,1.429,3771,932,0.00736,2253.414802
SiO2,Propylene Glycol,4.63,41.8,2.401,1.548,2787,1071,0.0063,2017.842052
ZnO,Ethylene Glycol,0.83,76.4,1.33,1.066,1026,1627,0.00184,4377.02306
Al2O3,Water,2.13,33.3,1.535,0.693,1202,997,0.00686,1263.521051
CuO,Water,4.28,29.9,0.243,0.907,3678,1133,0.00315,424.3626091
CuO,Ethylene Glycol,1.48,27.2,1.597,1.422,1714,1150,0.00183,5385.294666
TiO2,Oil,2.68,25.1,1.513,0.797,2354,930,0.00549,1766.911759
Al2O3,Ethylene Glycol,1.13,38.2,0.645,1.658,1600,1713,0.00357,3191.167642
Al2O3,Oil,1.76,47.5,2.962,1.861,3591,1662,0.00582,10828.75941
Al2O3,Water,2.7,68.4,0.82,1.032,3703,1956,0.00125,4839.898399
CuO,Water,3.84,38.7,1.338,0.963,2338,1190,0.00441,1654.820409
ZnO,Water,3.11,39.4,2.864,1.389,2256,1806,0.00997,4686.68439
CuO,Oil,4.21,58.9,0.209,1.199,1374,1640,0.00498,367.4457862
ZnO,Propylene Glycol,4.38,52.4,2.052,0.964,2159,1700,0.00189,3380.658027
Al2O3,Propylene Glycol,0.56,32.5,1.181,1.455,2047,1098,0.00252,4572.67619
SiO2,Oil,2.23,60.4,2.523,0.699,1329,940,0.00728,1790.309259
Al2O3,Propylene Glycol,3.79,70.5,1.334,0.792,1226,1509,0.00303,1615.7276
TiO2,Oil,4.91,90.2,2.056,0.751,2859,1450,0.00759,1280.520741
Al2O3,Ethylene Glycol,1.11,40.4,1.828,1.377,3664,1864,0.00678,7513.971689
SiO2,Ethylene Glycol,0.36,35.7,2.861,1.173,4253,1250,0.00455,9710.664123
SiO2,Water,0.21,32.5,0.621,1.896,3233,1310,0.00352,4022.057178
ZnO,Water,0.5,77,1.352,1.981,882,1897,0.0014,8622.622536
ZnO,Ethylene Glycol,2.77,76.6,0.832,1.504,1213,1389,0.00909,1297.251883
ZnO,Oil,0.17,81.1,0.996,1.939,2848,924,0.00116,6807.315315
Al2O3,Oil,3.73,45.7,0.386,1.646,1144,1586,0.00331,902.5625014
TiO2,Oil,3.4,43.8,0.472,0.808,3723,1399,0.00242,1292.831849
Al2O3,Ethylene Glycol,4.46,87.5,1.48,1.07,1180,1340,0.00228,1590.846945
SiO2,Water,4.36,68.4,0.322,0.96,2455,1504,0.00946,366.3027664
CuO,Propylene Glycol,3.77,76,1.964,0.701,2077,1490,0.00064,4639.883347
ZnO,Ethylene Glycol,0.93,70.6,2.852,1.39,3635,1464,0.00194,15246.44845
Al2O3,Water,3.5,42.5,1.07,0.624,2769,1605,0.00087,3060.791718
SiO2,Oil,4.83,42.8,2.891,1.489,1300,1652,0.00164,3888.201568
SiO2,Water,2.21,66.1,1.079,0.651,1961,1490,0.00635,1645.910485
Al2O3,Oil,3.81,44.3,0.582,1.357,1404,1359,0.00723,786.3067718
Al2O3,Ethylene Glycol,3.83,57.5,1.805,0.769,3607,1811,0.00877,2312.907084
CuO,Propylene Glycol,4.92,37.2,1.543,1.868,2221,1717,0.0089,1658.661239
TiO2,Water,4.91,56.9,2.572,1.641,3202,1080,0.00776,1944.472689
Al2O3,Oil,2.83,50,1.382,0.86,3325,1348,0.00313,2917.227806
TiO2,Propylene Glycol,3.84,82.9,1.03,1.424,1100,1059,0.00966,824.3891196
ZnO,Water,4.83,64.7,2.795,1.057,3590,1109,0.00338,2405.739695
CuO,Oil,4.31,80.6,2.641,1.698,1605,1171,0.00314,3224.022545
SiO2,Water,0.11,81.6,2.594,1.444,2573,1122,0.00492,7696.774193
TiO2,Water,2.12,45.5,0.246,1.532,4328,1888,0.00515,1617.0639
Al2O3,Propylene Glycol,3.6,47.3,1.27,0.859,1931,1031,0.00487,1284.049828
TiO2,Water,3.76,44,1.992,1.145,3082,1660,0.00281,4612.299801
ZnO,Propylene Glycol,2.37,27,1.78,1.247,4403,1583,0.00283,7159.166299
Al2O3,Oil,2.37,67.6,2.143,0.862,2169,1854,0.00052,10465.15223
TiO2,Oil,0.29,71.4,2.782,1.405,1912,1449,0.00401,9446.597169
CuO,Oil,1.53,71.5,1.16,1.507,4441,1464,0.00095,9683.410187
ZnO,Propylene Glycol,2.23,21.3,1.123,1.034,1364,1858,0.00844,2086.470833
SiO2,Propylene Glycol,3.31,43.3,0.189,1.234,1315,1321,0.00649,352.9473933
ZnO,Propylene Glycol,2.01,62.5,2.339,0.904,4095,1026,0.0074,3716.186042
ZnO,Oil,4.5,53.5,1.237,1.999,2150,1340,0.00408,1976.458142
SiO2,Ethylene Glycol,2.21,33.8,2.317,1.913,1952,1769,0.0034,8185.873151
SiO2,Propylene Glycol,1.33,31.4,0.131,1.552,2984,1725,0.00921,711.7331158
Al2O3,Ethylene Glycol,2.71,70.5,2.574,1.184,4177,1236,0.00924,4217.72561
Al2O3,Oil,1.94,56.3,2.884,0.735,4319,1296,0.00265,7229.639794
TiO2,Water,2.71,79.9,0.948,1.756,2181,1857,0.00951,2538.566871
TiO2,Propylene Glycol,1.34,20.9,1.84,1.497,3819,1671,0.00384,8871.175527
SiO2,Ethylene Glycol,2.41,50.8,2.986,1.741,3888,1963,0.00173,17655.3919
CuO,Propylene Glycol,1.15,69.2,2.591,1.764,2930,1257,0.00128,14399.69289
SiO2,Propylene Glycol,2.84,60.1,2.615,0.801,3357,1733,0.00846,3927.318244
CuO,Propylene Glycol,4.56,33.9,1.017,1.185,1241,977,0.00406,757.5703583
ZnO,Ethylene Glycol,2.36,33.2,0.509,1.247,3605,1149,0.00898,1175.77126
SiO2,Water,0.96,81.1,1.814,1.544,1608,1220,0.00708,4164.367359
TiO2,Propylene Glycol,2.96,47.3,0.179,1.608,1980,1365,0.00688,519.8232453
CuO,Propylene Glycol,3.64,71.8,2.3,1.147,2957,1395,0.00463,3754.366271
ZnO,Ethylene Glycol,1.86,77.8,2.613,0.82,1049,1648,0.00735,3298.975435
CuO,Propylene Glycol,3.99,50.1,1.25,1.346,2549,1064,0.00592,1541.607791
SiO2,Propylene Glycol,0.82,58.3,1.296,0.659,2624,1771,0.00165,5494.772109
ZnO,Ethylene Glycol,4.18,28.2,2.015,0.658,3541,1503,0.00183,3157.330051
Al2O3,Ethylene Glycol,2.76,52.6,0.38,1.962,1463,1659,0.00295,1620.307713
ZnO,Ethylene Glycol,0.27,24.8,0.841,0.631,3831,1927,0.00073,7414.796945
ZnO,Oil,4.33,59.2,2.486,0.99,4311,1680,0.00805,3016.115178
TiO2,Propylene Glycol,1.02,26.7,1.128,0.894,2869,1909,0.00162,6142.20423
ZnO,Propylene Glycol,3.33,53.1,0.363,1.908,2170,1542,0.00505,1168.847484
TiO2,Ethylene Glycol,3.93,43.9,1.009,1.835,4334,1956,0.00785,2795.426028
SiO2,Oil,3.91,32.9,1.441,0.86,3850,1510,0.00371,2486.256248
CuO,Water,3.77,53.5,2.487,0.761,2030,1360,0.00989,1774.985956
ZnO,Oil,4.43,55,2.007,0.903,1322,1781,0.0095,1379.262643
SiO2,Ethylene Glycol,4.07,27.3,2.113,0.996,3531,1439,0.00541,2622.051159
CuO,Propylene Glycol,0.54,28.7,0.27,1.353,4450,1900,0.00637,1973.377697
CuO,Propylene Glycol,0.16,42.9,2.018,1.011,1702,1353,0.00168,7812.3701
CuO,Oil,0.91,41,0.819,1.135,3619,1011,0.00305,3018.712075
CuO,Propylene Glycol,3.2,38,2.552,0.708,3724,1379,0.00989,2688.227892
CuO,Oil,1.69,20.8,2.036,0.677,1912,1674,0.00541,3630.978574
TiO2,Ethylene Glycol,4.19,36.5,1.979,1.602,1098,1233,0.0028,2444.400454
Al2O3,Water,0.73,23.5,0.55,1.544,984,1694,0.00492,2028.328292
ZnO,Ethylene Glycol,3.7,57.2,2.768,0.825,2693,1488,0.00977,2588.038676
CuO,Propylene Glycol,3.48,27.8,1.785,1.896,2709,1040,0.00452,3343.036718
TiO2,Oil,3.47,79,1.586,1.25,3053,1209,0.00964,2022.082573
CuO,Water,0.59,49.3,1.724,0.782,1179,911,0.00803,1826.039224
CuO,Propylene Glycol,0.57,29.1,1.01,0.977,1291,1245,0.00658,1948.074815
TiO2,Propylene Glycol,4.42,70.5,1.668,1.086,2028,1491,0.00268,2286.64271
CuO,Oil,2.59,36.4,2.651,1.49,4237,1802,0.00849,7300.262391
TiO2,Water,1.82,51.8,1.105,1.149,3810,1164,0.00262,3918.96273
Al2O3,Oil,4.69,32.4,0.783,1.634,831,1105,0.00585,567.1533059
ZnO,Water,1.99,39.8,1.905,0.978,3559,1250,0.00788,3506.494193
CuO,Ethylene Glycol,1.81,78.1,0.159,1.813,1088,1364,0.00748,468.6992882
CuO,Water,2.35,23.5,1.228,0.628,1803,1362,0.00477,1746.815686
SiO2,Propylene Glycol,3.11,39.2,0.332,1.525,2665,931,0.00614,678.4233645
SiO2,Ethylene Glycol,4.67,34.8,1.653,1.21,3357,941,0.00122,2507.482855
ZnO,Propylene Glycol,0.82,37.9,2.01,0.995,1052,1106,0.005,3123.136631
ZnO,Oil,1.3,69.2,2.497,1.936,2083,1616,0.00094,17970.24133
CuO,Propylene Glycol,0.28,31.8,1.397,0.622,3226,1957,0.00736,4161.853715
SiO2,Propylene Glycol,3.54,48.3,1.78,0.939,2592,1181,0.00825,1802.13624
CuO,Water,3.89,50.4,2.799,0.778,986,1432,0.0088,1615.698108
CuO,Water,4.59,62.5,1.314,0.853,1646,1564,0.00392,1250.915125
SiO2,Propylene Glycol,3.18,81.5,0.899,1.811,2749,1727,0.00556,2847.435653
SiO2,Propylene Glycol,0.16,42.6,0.139,1.131,1723,952,0.00626,440.4182832
Al2O3,Oil,0.43,90,1.15,0.687,4393,1634,0.00984,3093.855228
SiO2,Propylene Glycol,0.29,37.1,2.043,1.905,3809,1778,0.00746,10534.97885
Al2O3,Oil,2.15,48.2,1.378,1.132,3780,1677,0.00878,3522.536296
SiO2,Propylene Glycol,0.41,50.1,1.152,1.942,2269,1698,0.00068,13221.04967
CuO,Water,4.35,23.6,1.861,0.788,1910,1778,0.00871,1496.407854
SiO2,Oil,3.55,55.1,2.69,1.883,1311,1797,0.00774,4257.220502
ZnO,Ethylene Glycol,1.46,32.4,2.561,0.731,1961,1871,0.00421,5923.212822
SiO2,Propylene Glycol,0.89,48.3,1.213,1.453,2769,1052,0.00945,2809.167225
CuO,Water,2.53,56.9,0.94,1.317,2854,1492,0.00324,3178.123239
TiO2,Ethylene Glycol,4.55,62.1,1.142,1.488,2053,1720,0.00698,1509.596927
SiO2,Oil,1.75,79.7,1.829,0.726,2624,998,0.00209,3759.835684
ZnO,Water,3.23,66.9,1.987,0.747,1065,1639,0.00964,1616.206919
Al2O3,Oil,1.58,70.3,0.327,1.09,3243,1972,0.00346,1962.710741
ZnO,Propylene Glycol,0.15,59.6,2.12,1.011,1030,1070,0.00091,7085.512133
TiO2,Propylene Glycol,1.81,34.6,2.923,1.282,2442,1530,0.00531,7258.077262
TiO2,Ethylene Glycol,2.02,47,0.109,1.712,3144,994,0.00655,433.4805898
TiO2,Propylene Glycol,0.37,22.8,1.994,1.309,821,1253,0.00086,7861.408048
SiO2,Water,0.27,22.1,2.481,1.115,2948,1664,0.00849,7417.556368
SiO2,Water,3.37,21.9,2.557,0.605,3164,1326,0.0066,2554.231646
TiO2,Propylene Glycol,0.37,34.5,1.61,0.777,1454,1223,0.00607,2810.683511
TiO2,Water,0.35,83.2,0.654,1.749,4184,913,0.00199,4293.394003
CuO,Water,3.4,20.6,0.399,1.502,4329,1067,0.00543,1018.026605
TiO2,Water,0.51,81.4,2.672,1.476,3147,1607,0.00628,9563.800998
SiO2,Ethylene Glycol,2.07,40.2,1.053,1.074,1600,1188,0.0068,1679.669268
SiO2,Propylene Glycol,3.26,42.7,2.021,1.003,1997,1811,0.00408,3904.726411
CuO,Ethylene Glycol,1.41,58.6,2.662,1.089,972,1720,0.00878,4070.174767
ZnO,Propylene Glycol,2.11,33,1.08,0.675,3254,1524,0.00392,2514.176074
CuO,Ethylene Glycol,1.43,66,0.653,1.3,3777,1750,0.00288,3749.318023
ZnO,Propylene Glycol,2.1,43.6,2.639,1.951,2435,1342,0.00972,5600.794092
TiO2,Water,4.73,21.5,2.954,1.212,1186,1781,0.00353,2763.23006
Al2O3,Oil,4.2,50.1,2.881,1.1,1400,1606,0.00258,3815.951702
SiO2,Propylene Glycol,3.18,20.7,0.519,0.741,2798,1549,0.00736,878.6179771
ZnO,Oil,4.07,48.1,1.904,1.381,2226,1669,0.00304,3569.588945
ZnO,Oil,4.19,50.9,2.397,0.718,2029,1518,0.00884,1698.024858
CuO,Water,2.77,26.1,1.11,0.985,899,1345,0.0057,1349.38856
CuO,Oil,4.48,62.1,2.555,1.244,2450,893,0.00326,2213.410948
TiO2,Oil,4.56,59.1,1.519,0.866,1171,1076,0.00763,700.1992364
CuO,Water,0.95,87,0.431,1.604,859,1494,0.0024,1850.910311
SiO2,Oil,1.81,45.7,2.568,1.479,3740,1256,0.00748,6359.469549
Al2O3,Ethylene Glycol,2.98,65.2,1.258,1.652,3143,1176,0.00797,2460.476734
Al2O3,Ethylene Glycol,4.8,43.7,2.386,1.368,2905,1713,0.00295,3710.230013
Al2O3,Oil,3.39,36.7,1.057,1.587,2469,942,0.00142,2673.801441
TiO2,Water,0.5,72.6,0.449,1.381,1526,1466,0.00991,1384.878924
TiO2,Ethylene Glycol,0.89,71.9,0.417,1.2,3346,1956,0.00981,1836.197779
Al2O3,Ethylene Glycol,1.08,62,2.609,1.708,1270,1133,0.0099,4004.226195
SiO2,Water,4.51,32,2.476,1.104,4276,1598,0.00552,3283.007864
CuO,Oil,1.2,27.5,2.056,1.84,1853,894,0.00168,6631.238678
CuO,Ethylene Glycol,4.74,50.3,1.78,1.89,3473,932,0.00788,1607.314377
CuO,Ethylene Glycol,0.38,78.9,1.251,0.712,1646,1658,0.00138,5132.235867
SiO2,Propylene Glycol,1.48,83.5,2.838,1.85,3355,1184,0.00135,15340.35254
TiO2,Oil,0.81,27.6,0.711,1.106,3315,1793,0.00384,3847.741501
TiO2,Water,0.8,76.5,1.213,0.683,2666,1597,0.00325,3669.359874
ZnO,Oil,1.04,37.7,1.04,1.118,3085,1724,0.00616,3807.554375
SiO2,Water,2.4,39,1.073,1.378,2210,1183,0.00326,2823.810563
SiO2,Water,0.51,55.4,1.261,1.806,1333,1153,0.00644,3338.459567
TiO2,Propylene Glycol,1.23,64.8,2.256,0.809,1365,1763,0.00205,6597.110588
CuO,Ethylene Glycol,2.73,76.1,2.457,1.838,916,1670,0.0094,3514.813446
SiO2,Ethylene Glycol,1.19,83.4,0.586,1.352,2470,1159,0.00368,2122.450213
TiO2,Oil,4.74,86.9,0.15,0.683,4198,1502,0.00551,205.182055
TiO2,Propylene Glycol,3.48,22,1.569,1.504,894,1640,0.00852,1760.737039
Al2O3,Ethylene Glycol,3.13,25.3,2.117,1.918,1281,1870,0.00977,3672.785496
Al2O3,Oil,0.74,58.4,0.236,1.365,1110,983,0.0082,539.3564412
CuO,Water,2.81,82.4,1.011,1.27,3200,1038,0.00276,2475.276116
Al2O3,Water,2.32,88.7,1.497,1.919,4130,1527,0.00745,5187.761853
Al2O3,Propylene Glycol,3.87,50.4,0.834,1.525,3586,1437,0.00171,2988.834484
SiO2,Propylene Glycol,2.09,22.7,2.684,2.029,3163,1331,0.00069,18369.03192
TiO2,Propylene Glycol,3.32,76.2,0.922,1.394,2498,1252,0.00162,2744.569169
CuO,Oil,0.37,30.3,0.387,1.245,2763,1388,0.00617,1537.638452
TiO2,Water,2.26,68.5,1.044,1.797,3628,1450,0.00523,4006.235931
SiO2,Water,1.4,40.8,0.576,0.8,2448,1125,0.00214,1839.753689
SiO2,Water,0.58,90.8,2.304,0.826,823,1177,0.00922,2422.1191
ZnO,Water,3.16,73.2,1.162,0.752,2956,1217,0.00215,2429.72163
TiO2,Oil,3.33,43,0.872,1.252,3926,1009,0.00853,1324.421252
SiO2,Water,3.68,44.4,1.459,0.646,4474,2000,0.00169,4188.405414
SiO2,Ethylene Glycol,0.55,30.6,0.848,0.791,2748,1246,0.00154,3627.636131
TiO2,Ethylene Glycol,0.27,69.3,1.471,0.786,852,1782,0.00446,3240.517453
TiO2,Water,3.29,83.5,0.943,0.818,1542,1418,0.00164,1966.719459
TiO2,Water,2.57,26.8,1.668,1.354,3923,1582,0.00975,3751.817526
CuO,Propylene Glycol,3.44,21.9,2.125,1.067,1878,909,0.00855,1608.594085
Al2O3,Oil,3.91,60.9,2.703,1.157,1898,1239,0.00677,2329.224769
SiO2,Oil,0.95,70.6,2.341,0.627,3153,1012,0.00509,3740.512391
CuO,Oil,2.86,28.1,2.94,1.869,1373,1595,0.00707,5275.696628
SiO2,Ethylene Glycol,0.95,84.4,2.472,1.44,3438,1533,0.00343,11113.57861
CuO,Oil,2.56,23.9,0.84,0.717,3917,1411,0.00493,1890.468301
TiO2,Ethylene Glycol,2.61,48.5,2.359,1.772,2527,1076,0.00704,4194.903802
TiO2,Oil,3.87,21.3,1.446,1.989,3441,1626,0.00876,2843.444391
ZnO,Water,3.19,80.7,2.56,0.616,1825,1460,0.00273,3441.286451
SiO2,Ethylene Glycol,0.74,38.1,1.298,0.835,3931,1479,0.00515,4267.153712
ZnO,Ethylene Glycol,1.05,53.6,0.568,0.764,3393,1398,0.00649,1619.047152
SiO2,Water,1.73,63.8,0.545,1.768,3725,1045,0.00088,4102.114563
TiO2,Water,0.6,63.4,2.399,1.914,1299,1197,0.00243,8425.805442
SiO2,Oil,1.94,53.5,2.371,1.45,4054,1658,0.00732,7272.587502
TiO2,Propylene Glycol,1.83,34.3,0.373,1.757,3340,940,0.00338,1525.957751
SiO2,Oil,2.78,43,2.005,0.872,2175,1674,0.00252,4670.198807
CuO,Oil,0.54,29.3,1.378,1.075,1141,1931,0.00498,4019.125548
Al2O3,Ethylene Glycol,3.19,67,1.33,1.712,887,1944,0.00781,2248.379029
Al2O3,Oil,2.15,22.1,2.585,1.812,3606,1948,0.00303,13098.16775
ZnO,Ethylene Glycol,3.78,80.4,2.93,1.403,1903,1526,0.00629,3796.328433
CuO,Water,2.49,79.2,1.585,1.119,1813,1712,0.003,4282.443147
CuO,Oil,0.5,26,0.604,1.605,4385,1329,0.00376,3763.094185
TiO2,Oil,1.05,25.5,0.883,1.832,1772,1479,0.0057,3320.70779
TiO2,Water,4.58,69.1,1.225,1.135,1081,1107,0.0082,666.9132923
ZnO,Oil,0.63,50.3,0.92,1.727,832,1268,0.00266,3049.756437
TiO2,Oil,1.37,89.5,0.855,1.518,2053,1920,0.00819,2943.073024
CuO,Ethylene Glycol,0.31,31.6,1.979,1.859,3621,1008,0.0062,7027.959913
Al2O3,Ethylene Glycol,0.52,74.5,0.75,1.12,3266,1636,0.00379,3674.933015
Al2O3,Oil,4.16,21.9,0.23,1.164,3972,1771,0.00704,563.0950637
CuO,Propylene Glycol,1.88,61.3,0.272,0.74,2800,1739,0.00665,787.7070435
SiO2,Water,4.75,59,1.989,1.472,2151,1153,0.0012,3059.324601
CuO,Propylene Glycol,1.92,44.2,1.046,1.76,4438,1477,0.00064,10962.5421
CuO,Oil,4.46,33,1.408,1.725,1087,1246,0.00919,1096.488634
CuO,Ethylene Glycol,1.97,69.8,0.692,1.954,4442,1009,0.00963,1917.742111
ZnO,Oil,2.55,43.8,1.864,1.535,4075,977,0.00282,5369.338066
SiO2,Ethylene Glycol,4.18,58.9,1.437,1.111,3336,1169,0.00275,2214.262313
